Solution Name: TLV.sln,,,,,,,,,,,,,
Total Number of Projects: 10,,,,,,,,,,,,,

Project Name,File Directory,File Name,Total Lines,Effective Lines,Effective Lines Ratio (%),Comments,Comments Ratio (%),Empty Lines,Classes,Structures,Delegates,Interfaces,Enumerations
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\TraceLogVisualizerData,StandartFormatConverter.cs,412,186,45.15,45,10.92,41,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Controls\Forms,MainForm.Designer.cs,342,226,66.08,98,28.65,6,1,0,0,0,0
Test,C:\Junji\Work\OJL\TLV\フェーズ2\src\Test,WindowManagerTest.cs,321,174,54.21,27,8.41,65,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Controls,TraceLogViewer.cs,306,175,57.19,0,0,43,2,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Controls\Forms,OpenResourceFileAndTraceLogFileOpenForm.cs,301,176,58.47,0,0,13,1,0,0,0,2
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Controls\Forms,MainForm.cs,292,171,58.56,4,1.37,42,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\TraceLogData,TraceLogData.cs,270,155,57.41,0,0,41,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Controls\Forms,OpenResourceFileAndTraceLogFileOpenForm.Designer.cs,231,160,69.26,53,22.94,6,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\WindowManager,WindowManager.cs,205,75,36.59,71,34.63,7,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\CommandManager,CommandManager.cs,199,110,55.28,18,9.05,24,1,0,0,0,0
Third,C:\Junji\Work\OJL\TLV\フェーズ2\src\Third,WeifenLuoWindowManager.cs,199,126,63.32,5,2.51,19,2,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\VisualizeData\Shape,GraphicsExtension.cs,191,150,78.53,0,0,19,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Controls,TraceLogViewer.Designer.cs,188,129,68.62,41,21.81,6,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\TraceLogData,TraceLog.cs,187,111,59.36,0,0,14,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\FileContext,FileContext.cs,173,72,41.62,46,26.59,16,1,0,0,0,0
Test,C:\Junji\Work\OJL\TLV\フェーズ2\src\Test,サブウィンドウ管琁Ecs,172,105,61.05,22,12.79,20,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\VisualizeData\Shape,Point.cs,167,114,68.26,0,0,21,1,0,0,0,2
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\Json,Json.cs,166,79,47.59,0,0,15,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\Extensions,ColorExtension.cs,165,104,63.03,0,0,33,1,0,0,0,0
Test,C:\Junji\Work\OJL\TLV\フェーズ2\src\Test,SubWindowCollectionTest.cs,158,88,55.7,27,17.09,15,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Properties,Resources.Designer.cs,153,53,34.64,53,34.64,18,1,0,0,0,0
Test,C:\Junji\Work\OJL\TLV\フェーズ2\src\Test,GeneralCommandTest.cs,147,80,54.42,27,18.37,16,1,0,0,0,0
Test,C:\Junji\Work\OJL\TLV\フェーズ2\src\Test,SubWindowTest.cs,145,80,55.17,27,18.62,14,1,0,0,0,0
Test,C:\Junji\Work\OJL\TLV\フェーズ2\src\Test,CommandManagerTest.cs,145,74,51.03,27,18.62,16,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\WindowManager,SubWindow.cs,129,52,40.31,36,27.91,13,1,0,0,0,0
Test,C:\Junji\Work\OJL\TLV\フェーズ2\src\Test,FileContextTest.cs,127,50,39.37,27,21.26,12,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\JsonConverters,JsonConverter.cs,127,80,62.99,0,0,9,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\TraceLogVisualizerData,TraceLogVisualizerData.cs,124,52,41.94,36,29.03,18,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\Expression,ConditionExpression.cs,124,76,61.29,0,0,17,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\Controls,NativeScrollDataGridView.cs,121,66,54.55,0,0,9,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base,SortableBindingList.cs,120,74,61.67,1,0.83,19,3,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\Extensions,ToolStripMenuItemExtensions.cs,111,58,52.25,15,13.51,9,2,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\Controls\Forms,BackGroundWorkForm.Designer.cs,104,60,57.69,26,25,6,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\Controls\Forms,BackGroundWorkForm.cs,95,59,62.11,0,0,6,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\VisualizeData\Shape,Size.cs,92,62,67.39,0,0,14,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\ResourceData\Attribute\AttributeType,AttributeType.cs,88,41,46.59,24,27.27,5,1,0,0,0,0
Third,C:\Junji\Work\OJL\TLV\フェーズ2\src\Third\NewtonsoftJson,JsonReader.cs,85,59,69.41,0,0,8,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base,NativeScrollBar.cs,82,55,67.07,0,0,15,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\WindowManager,IWindowManager.cs,78,57,73.08,5,6.41,4,1,0,0,1,1
Third,C:\Junji\Work\OJL\TLV\フェーズ2\src\Third\NewtonsoftJson,NewtonsoftJson.cs,78,45,57.69,0,0,9,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\JsonConverters,ResourceHeaderConverter.cs,78,40,51.28,0,0,11,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Commands,NewCommand.cs,77,46,59.74,0,0,10,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core,ApplicationFactory.cs,76,46,60.53,9,11.84,7,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\VisualizeData,VisualizeRule.cs,75,36,48,0,0,7,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\VisualizeData\Shape,Shape.cs,73,52,71.23,0,0,5,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\Expression,ComparisonExpression.cs,72,49,68.06,0,0,11,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Commands,OpenCommand.cs,67,37,55.22,0,0,11,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\CommandManager,MacroCommand.cs,67,31,46.27,0,0,8,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\ResourceData,ResourceHeader.cs,63,31,49.21,3,4.76,9,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Properties,Settings.Designer.cs,62,32,51.61,9,14.52,8,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\WindowManager,SubWindowCollection.cs,61,29,47.54,0,0,10,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\JsonConverters,VisualizeRuleConverter.cs,60,34,56.67,0,0,3,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Commands,AbstractFileChangeCommand.cs,60,31,51.67,0,0,7,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\Xml,Xml.cs,59,40,67.8,0,0,5,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\VisualizeData\Shape,Pen.cs,59,36,61.02,0,0,9,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\ResourceData,ResourceType.cs,57,26,45.61,12,21.05,5,1,0,0,0,0
Third,C:\Junji\Work\OJL\TLV\フェーズ2\src\Third\NewtonsoftJson,JsonWriter.cs,53,28,52.83,0,0,9,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\JsonConverters,INamedConverter.cs,52,27,51.92,0,0,8,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\JsonConverters,ClassHavingNullablePropertyConverter.cs,52,27,51.92,0,0,8,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Commands,ChangeSubWindowDockStateCommand.cs,51,27,52.94,0,0,8,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\VisualizeData\Shape,Area.cs,49,30,61.22,0,0,7,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Commands,ChangeSubWindowVisiblityCommand.cs,49,26,53.06,0,0,7,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Commands,ChangeSubWindowEnabledCommand.cs,49,26,53.06,0,0,7,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\JsonConverters,GeneralNamedCollectionConverter.cs,47,26,55.32,0,0,6,1,0,0,0,0
Base,C:\Junji\Work\OJL\TLV\フェーズ2\src\Base\CommandManager,GeneralCommand.cs,46,21,45.65,6,13.04,5,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\Setting,Setting.cs,45,23,51.11,0,0,6,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\FileContext\VisualizeData\Shape,Font.cs,44,31,70.45,0,0,7,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Commands,SaveAsCommand.cs,44,22,50,0,0,6,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Commands,SaveCommand.cs,44,20,45.45,0,0,6,1,0,0,0,0
Core,C:\Junji\Work\OJL\TLV\フェーズ2\src\Core\Base,GeneralJsonableCollection.cs,40,22,55,0,0,6,1,0,0,0,0
